                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     67,                0.17206,                0.17183,                0.19765,                0.85122,                 0.9971,                0.97464,                0.97542,                0.96652,                 0.9971,                0.97464,                0.97542,                0.95894,                0.12643,                0.26176,                0.14318,                0.82552,             0.00029696,             0.00029696,             0.00029696
                     68,                0.17257,                0.23131,                0.19301,                0.85045,                0.99703,                0.97464,                0.97593,                0.96841,                0.99703,                0.97464,                0.97593,                0.95977,                0.11606,                0.29018,                 0.1343,                0.81924,             0.00028872,             0.00028872,             0.00028872
                     69,                0.17221,                0.19346,                0.19074,                0.85163,                0.99691,                0.97464,                0.97695,                0.96954,                0.99691,                0.97464,                0.97695,                 0.9617,                0.10543,                0.27665,                0.11856,                0.81823,             0.00028047,             0.00028047,             0.00028047
                     70,                0.15941,                0.20676,                 0.1845,                0.84876,                0.99605,                0.97464,                0.97708,                 0.9717,                0.99605,                0.97464,                0.97708,                0.96237,                0.10372,                0.26248,                0.11515,                0.81638,             0.00027222,             0.00027222,             0.00027222
                     71,                0.16433,                0.23158,                0.17978,                0.84636,                0.99705,                0.97464,                0.97646,                0.97174,                0.99705,                0.97464,                0.97646,                0.96422,                0.10791,                0.26509,                0.12022,                0.81529,             0.00026398,             0.00026398,             0.00026398
                     72,                0.16506,                0.18372,                0.17599,                0.84887,                0.99693,                0.97464,                0.97575,                0.96999,                0.99693,                0.97464,                0.97575,                0.96613,                 0.1079,                0.27855,                0.12319,                0.81641,             0.00025573,             0.00025573,             0.00025573
                     73,                0.16065,                0.18266,                0.17448,                0.84481,                0.99684,                0.97464,                0.97635,                0.97041,                0.99684,                0.97464,                0.97635,                0.96562,                 0.1027,                0.26332,                0.11505,                0.81404,             0.00024748,             0.00024748,             0.00024748
                     74,                0.15111,                0.18551,                   0.17,                0.84232,                0.99705,                0.97464,                0.97504,                0.96654,                0.99705,                0.97464,                0.97504,                0.96182,                0.10681,                0.25964,                0.11569,                0.81446,             0.00023924,             0.00023924,             0.00023924
                     75,                0.15586,                0.20361,                0.16879,                0.84652,                0.99742,                0.97464,                0.97652,                0.97044,                0.99742,                0.97464,                0.97652,                0.96525,                0.10114,                 0.2855,                0.11526,                0.81507,             0.00023099,             0.00023099,             0.00023099
                     76,                0.15481,                0.18753,                0.17017,                0.84558,                0.99731,                0.97464,                0.98007,                0.97541,                0.99731,                0.97464,                0.98007,                0.97063,                0.12377,                0.30343,                0.12769,                0.82155,             0.00022274,             0.00022274,             0.00022274
                     77,                0.16142,                0.15931,                0.17017,                0.85152,                0.99694,                0.97464,                0.97832,                0.97304,                0.99694,                0.97464,                0.97832,                0.96835,                0.10258,                0.29779,                0.11654,                 0.8151,              0.0002145,              0.0002145,              0.0002145
                     78,                0.15234,                0.15623,                0.16178,                0.85053,                 0.9974,                0.97464,                0.97784,                0.97141,                 0.9974,                0.97464,                0.97784,                0.96824,                0.10424,                0.28576,                0.10665,                0.81451,             0.00020625,             0.00020625,             0.00020625
                     79,                0.15329,                0.19305,                0.16579,                0.84539,                0.99724,                0.97464,                0.97604,                0.97107,                0.99724,                0.97464,                0.97604,                0.96733,                 0.0974,                0.28899,                0.11135,                0.81349,               0.000198,               0.000198,               0.000198
                     80,                0.15897,                0.19245,                0.16756,                0.84735,                 0.9973,                0.97464,                0.97661,                0.97083,                 0.9973,                0.97464,                0.97661,                0.96658,                0.10551,                0.29305,                0.11495,                0.81701,             0.00018976,             0.00018976,             0.00018976
                     81,                0.15476,                0.19069,                0.16186,                0.84498,                0.99713,                0.97464,                0.97758,                0.97165,                0.99713,                0.97464,                0.97758,                 0.9676,                0.09802,                0.27092,                0.10654,                0.81484,             0.00018151,             0.00018151,             0.00018151
                     82,                0.14775,                0.20809,                0.15575,                0.84542,                0.99704,                0.97464,                0.97878,                0.97307,                0.99704,                0.97464,                0.97878,                0.96582,                0.09728,                  0.256,                0.10953,                0.81264,             0.00017326,             0.00017326,             0.00017326
                     83,                0.14749,                0.16912,                0.15741,                0.84987,                0.99673,                0.97464,                0.97764,                0.97172,                0.99673,                0.97464,                0.97764,                0.96547,                0.09679,                 0.2698,                0.10859,                0.81245,             0.00016502,             0.00016502,             0.00016502
                     84,                0.14942,                0.17467,                0.15322,                0.85123,                0.99707,                0.97464,                0.97982,                0.97501,                0.99707,                0.97464,                0.97982,                0.97018,                0.09471,                0.27659,                0.10436,                 0.8144,             0.00015677,             0.00015677,             0.00015677
                     85,                0.15256,                0.15887,                0.16181,                0.84693,                0.99728,                0.97464,                0.97867,                0.97236,                0.99728,                0.97464,                0.97867,                0.96877,                0.09605,                0.29225,                0.10468,                 0.8145,             0.00014852,             0.00014852,             0.00014852
                     86,                0.13545,                0.17843,                0.15301,                 0.8428,                0.99722,                0.97464,                0.98008,                0.97494,                0.99722,                0.97464,                0.98008,                0.97074,                  0.098,                0.30034,                0.09899,                0.81321,             0.00014028,             0.00014028,             0.00014028
                     87,                0.14807,                0.15682,                0.15499,                0.85223,                0.99726,                0.97464,                0.98102,                0.97496,                0.99726,                0.97464,                0.98102,                 0.9702,                0.09236,                0.29863,                0.09558,                0.81172,             0.00013203,             0.00013203,             0.00013203
                     88,                0.14825,                  0.202,                0.14952,                0.84465,                0.99676,                0.97464,                0.98156,                0.97588,                0.99676,                0.97464,                0.98156,                0.97164,                0.09024,                0.26963,                0.10055,                0.81272,             0.00012378,             0.00012378,             0.00012378
                     89,                0.14041,                0.19924,                0.14959,                 0.8454,                0.99731,                0.97464,                0.98107,                0.97447,                0.99731,                0.97464,                0.98107,                0.96878,                0.08785,                0.27497,                0.09633,                0.81292,             0.00011554,             0.00011554,             0.00011554
                     90,                  0.133,                0.19001,                0.14409,                0.83565,                0.99732,                0.97464,                0.98073,                0.97466,                0.99732,                0.97464,                0.98073,                0.96979,                0.08687,                0.27007,                0.09852,                  0.812,             0.00010729,             0.00010729,             0.00010729
